Time,Steering Angle,Error
1730455133.440448,-4.618737802296589,-31
1730455133.5495725,9.243383996028168,43
1730455133.6132603,-14.113142497463164,-21
1730455133.660593,-5.816059242372738,-27
1730455133.7314105,-5.068125055617631,-29
1730455133.7811735,11.78952584421194,26
1730455133.823515,5.445592161117704,40
1730455133.9005113,2.1745471739768982,40
1730455133.9498813,-20.51400362759251,-35
1730455134.0103745,14.847462538580466,41
1730455134.1107814,-11.313812984144596,-27
1730455134.2064455,-3.9548541947493083,-24
1730455134.2494383,-3.6112151532357215,-22
1730455134.2997675,-5.58536617925868,-27
1730455134.4009373,3.3792933645273506,13
1730455134.451706,1.8033675352856662,21
1730455134.5409095,-0.8142658490351984,16
1730455134.6187942,1.1366599810580933,22
1730455134.6649752,-6.581302253685174,0
1730455134.7636702,-4.059718273208893,-11
1730455134.8809547,0.9560962587175785,10
1730455135.0158281,-4.329862569755218,-10
1730455135.1019979,-3.2910139024560934,-12
1730455135.1911347,-0.5123521540584042,0
1730455135.6485925,4.20993382454332,48
1730455135.7068253,9.734088333465284,72
1730455135.7756171,-3.1983264769324258,36
1730455135.840421,6.13403332140672,52
1730455135.8917618,1.9182189535333964,46
1730455135.9463906,7.370475638986893,61
1730455136.0064662,7.053547829278315,70
1730455136.138116,2.815819802747372,54
1730455136.2328668,4.288822442165777,55
1730455136.2988324,1.1846038046902292,43
1730455136.4178236,2.322716151737322,39
1730455136.5069256,3.7582210104535934,44
1730455136.6213946,4.001622308316747,48
1730455136.703496,1.2410280731372665,37
1730455136.7891648,4.789175856293483,47
1730455136.8690894,9.092740680347786,71
1730455136.9311721,-1.196742342800226,43
1730455137.0034416,3.8148584150677904,45
1730455137.0675988,5.105982167016214,51
1730455137.1311274,6.268561341764566,59
1730455137.2098744,8.284322570948342,73
1730455137.2720509,2.657199101564372,58
1730455137.3693514,6.077690788970706,63
1730455137.455807,2.155118163611326,47
1730455137.5381,5.155287328111259,52
1730455137.624328,-0.38996091247195963,29
1730455137.7090194,1.8585032040858422,27
1730455137.8127968,0.5426731166877788,19
1730455137.8728013,-15.768037852166131,-45
1730455137.9774306,-15.782154067705676,-99
1730455138.0588353,-16.511709795908427,-125
1730455138.109147,-8.003981134066615,-107
1730455138.2695863,-7.8096242601822405,-83
1730455138.4458513,-11.828803452636818,-98
1730455138.614225,-6.793695172096662,-71
1730455138.6558185,15.806939999524145,0
1730455138.7305098,4.57357247467658,25
1730455138.8001025,-9.01549458916017,-17
1730455138.8511612,15.06832203672126,44
1730455138.9475887,5.221233667143249,54
1730455139.0077353,-7.520418175149898,10
1730455139.0818112,4.984951228232967,32
1730455139.203431,3.703294140597294,41
1730455139.252731,6.935371596022036,54
1730455139.3053834,1.9980743027896166,46
1730455139.3602026,3.2554608107064453,45
1730455139.4551132,3.687727417247043,46
1730455139.5326228,2.698323860623103,42
1730455139.6011105,4.230169303939111,46
1730455139.6619976,-2.4224803570856013,23
1730455139.7807574,0.8321253172127686,20
1730455139.8418367,-4.188758503793517,0
1730455139.9281328,-3.3006072581953525,-11
1730455140.0059247,-6.3897158044423765,-30
1730455140.0504584,-5.2620547301252065,-34
1730455140.0917838,-7.455107007023913,-43
1730455140.1313846,15.232136102070415,15
1730455140.3346221,0.10148193044257847,12
1730455140.3866577,0.2553567528724672,12
1730455140.5651357,-8.40188556827903,-43
1730455140.6144018,-5.3425742363929745,-43
1730455140.7639935,-4.397049496140956,-37
1730455140.918862,3.4509193050599842,13
1730455140.9789052,-14.742363060643994,-43
1730455141.1525266,-5.159651602966172,-41
1730455141.2353082,-7.3039022725521905,-50
1730455141.4689584,2.95498048890095,14
1730455141.5201592,-14.584220942523027,-36
1730455141.5723455,5.688165606366926,0
1730455141.6304579,-13.500135035447325,-45
1730455141.7112136,-5.090905499706562,-42
1730455141.8187935,-6.089123113389412,-45
1730455141.86127,-7.840484993481334,-51
1730455142.0084207,-1.2549645523827966,-20
1730455142.0528104,-4.023493055678907,-22
1730455142.2746456,-5.828972275959263,-37
1730455142.368845,-7.881282298054989,-50
1730455142.5177286,-6.406104867012833,-49
1730455142.574575,-6.777341351078419,-50
1730455142.701539,-1.984869871934876,-24
1730455142.8185828,-8.539799789579158,-48
1730455142.8729923,-7.084130628109063,-50
1730455143.0021195,-6.780186545848847,-50
